IDShop,Name,Chain,Territory,Competitive Territory, Sales , Selling area , Annual sales , Annual sales per selling area 
550,Kannapolis Lindseys,Lindseys,NC,n," 356,916.69 "," 15,000.00 "," 535,375.04 ", 35.69 
551,Anderson Lindseys,Lindseys,SC,y," 332,667.96 "," 20,000.00 "," 499,001.94 ", 24.95 
554,Augusta Lindseys,Lindseys,GA,n," 265,043.57 "," 10,000.00 "," 397,565.35 ", 39.76 
555,Cartersville Lindseys,Lindseys,GA,n," 314,040.30 "," 15,000.00 "," 471,060.45 ", 31.40 
556,Johnson City Lindseys,Lindseys,TN,n," 308,158.73 "," 10,000.00 "," 462,238.09 ", 46.22 
557,Savannah Lindseys,Lindseys,GA,n," 272,891.75 "," 10,000.00 "," 409,337.62 ", 40.93 
558,Newnan Lindseys,Lindseys,GA,n," 251,426.15 "," 10,000.00 "," 377,139.22 ", 37.71 
560,Buford Lindseys,Lindseys,GA,n," 264,324.74 "," 10,000.00 "," 396,487.10 ", 39.65 
563,Duluth Lindseys,Lindseys,GA,n," 350,211.71 "," 15,000.00 "," 525,317.56 ", 35.02 
565,Pasadena Lindseys,Lindseys,MD,y," 66,121.40 "," 10,000.00 "," 99,182.09 ", 9.92 
566,Ft. Oglethorpe Lindseys,Lindseys,GA,n," 197,832.11 "," 15,000.00 "," 296,748.16 ", 19.78 
568,Knoxville Lindseys,Lindseys,TN,n," 163,092.83 "," 10,000.00 "," 244,639.24 ", 24.46 
570,Wilson Lindseys,Lindseys,NC,n," 257,499.03 "," 10,000.00 "," 386,248.55 ", 38.62 
571,Cookeville Lindseys,Lindseys,TN,n," 340,155.80 "," 10,000.00 "," 510,233.69 ", 51.02 
572,Jacksonville Lindseys,Lindseys,NC,n," 303,682.25 "," 10,000.00 "," 455,523.37 ", 45.55 
573,Columbia Lindseys,Lindseys,SC,y," 288,557.52 "," 10,000.00 "," 432,836.28 ", 43.28 
574,Bowling Green Lindseys,Lindseys,KY,y," 247,666.92 "," 10,000.00 "," 371,500.38 ", 37.15 
575,Goldsboro Lindseys,Lindseys,NC,n," 220,044.18 "," 10,000.00 "," 330,066.27 ", 33.01 
576,Gallatin Lindseys,Lindseys,TN,n," 413,064.38 "," 15,000.00 "," 619,596.56 ", 41.31 
577,Elizabethtown Lindseys,Lindseys,KY,y," 306,000.23 "," 10,000.00 "," 459,000.34 ", 45.90 
579,Gastonia Lindseys,Lindseys,NC,n," 340,521.11 "," 15,000.00 "," 510,781.66 ", 34.05 
580,Chattanooga Lindseys,Lindseys,TN,n," 379,076.45 "," 15,000.00 "," 568,614.67 ", 37.91 
581,Kernersville Lindseys,Lindseys,NC,n," 300,923.40 "," 10,000.00 "," 451,385.10 ", 45.14 
582,Chambersburg Lindseys,Lindseys,PA,n," 225,731.96 "," 10,000.00 "," 338,597.93 ", 33.86 
583,Raleigh PV Lindseys,Lindseys,NC,n," 206,518.17 "," 10,000.00 "," 309,777.26 ", 30.98 
